day	hour	value
6	17	273
2	17	266
3	17	264
6	15	263
6	16	260
3	16	257
4	17	256
4	16	254
5	17	239
3	15	237
5	16	221
2	16	219
6	12	217
4	7	213
5	15	208
6	14	200
2	15	195
4	15	194
3	8	193
3	7	193
5	7	183
2	7	180
6	18	180
3	18	177
5	8	174
4	8	173
5	18	168
4	18	166
2	14	164
7	12	163
6	13	162
7	16	160
3	13	160
7	14	156
2	8	155
7	11	154
4	12	154
6	7	154
7	13	154
3	14	154
5	14	151
4	14	151
2	12	148
4	9	147
3	12	146
7	15	145
4	13	144
6	11	138
2	18	138
5	9	135
5	13	134
6	8	127
5	12	124
5	11	119
2	13	119
5	10	119
1	14	119
3	11	118
1	16	115
1	13	115
7	17	112
3	10	111
1	12	109
2	11	108
7	9	108
7	18	108
4	10	106
2	10	105
5	19	105
7	10	104
4	11	104
4	19	103
2	9	98
1	18	97
6	9	97
3	19	97
6	10	97
1	17	97
7	19	95
7	21	94
1	15	93
3	9	93
5	6	92
6	19	91
6	20	90
6	21	89
1	19	88
4	6	86
1	11	85
7	20	84
2	19	81
1	10	80
3	6	79
4	20	79
3	21	77
5	20	71
7	22	70
1	9	69
1	21	69
7	8	68
2	20	67
4	21	66
5	21	66
2	21	64
1	20	63
2	6	61
7	7	60
6	6	59
6	22	59
1	0	58
7	0	57
3	20	56
7	23	53
5	22	52
4	22	45
1	1	45
3	22	44
1	8	43
1	2	43
1	23	43
1	22	42
6	5	41
2	0	40
6	23	37
7	2	37
5	23	37
4	0	36
2	22	34
7	1	33
7	3	33
7	6	33
4	23	33
3	23	32
5	0	30
6	0	30
2	5	30
3	5	27
1	7	27
2	23	26
4	5	26
5	5	26
6	2	25
3	0	24
5	1	23
2	2	23
2	1	22
4	1	22
6	1	21
1	5	21
1	6	20
1	3	20
7	5	20
1	4	19
7	4	19
4	2	17
3	3	15
6	3	14
5	4	14
3	4	14
6	4	14
4	4	13
5	2	11
3	1	10
3	2	10
5	3	10
4	3	10
2	4	9
2	3	8
